Número de documentos (noticias) del corpus: 305
Número de palabras del corpus: 5005
Palabra:  Frec.:1326 LogProb: -1.46
Palabra: sport Frec.:1 LogProb: -7.96
Palabra: russia Frec.:2 LogProb: -7.55
Palabra: vaisala Frec.:2 LogProb: -7.55
Palabra: tallinnbas Frec.:1 LogProb: -7.96
Palabra: carri Frec.:2 LogProb: -7.55
Palabra: aero Frec.:1 LogProb: -7.96
Palabra: within Frec.:1 LogProb: -7.96
Palabra: southern Frec.:1 LogProb: -7.96
Palabra: apr Frec.:1 LogProb: -7.96
Palabra: solteq Frec.:1 LogProb: -7.96
Palabra: stqv Frec.:1 LogProb: -7.96
Palabra: peri Frec.:1 LogProb: -7.96
Palabra: raut Frec.:3 LogProb: -7.26
Palabra: slump Frec.:1 LogProb: -7.96
Palabra: snowfal Frec.:1 LogProb: -7.96
Palabra: resort Frec.:1 LogProb: -7.96
Palabra: winter Frec.:1 LogProb: -7.96
Palabra: depart Frec.:1 LogProb: -7.96
Palabra: divis Frec.:1 LogProb: -7.96
Palabra: estim Frec.:11 LogProb: -6.17
Palabra: cencorp Frec.:3 LogProb: -7.26
Palabra: second Frec.:11 LogProb: -6.17
Palabra: accord Frec.:5 LogProb: -6.86
Palabra: network Frec.:1 LogProb: -7.96
Palabra: fluctuat Frec.:1 LogProb: -7.96
Palabra: telecommun Frec.:1 LogProb: -7.96
Palabra: significantli Frec.:2 LogProb: -7.55
Palabra: expect Frec.:7 LogProb: -6.57
Palabra: remain Frec.:6 LogProb: -6.71
Palabra: unstabl Frec.:1 LogProb: -7.96
Palabra: rest Frec.:1 LogProb: -7.96
Palabra: sold Frec.:2 LogProb: -7.55
Palabra: frost Frec.:1 LogProb: -7.96
Palabra: high Frec.:2 LogProb: -7.55
Palabra: low Frec.:3 LogProb: -7.26
Palabra: exclud Frec.:13 LogProb: -6.01
Palabra: item Frec.:15 LogProb: -5.88
Palabra: nonrecur Frec.:12 LogProb: -6.09
Palabra: yearonyear Frec.:5 LogProb: -6.86
Palabra: swung Frec.:1 LogProb: -7.96
Palabra: pct Frec.:19 LogProb: -5.66
Palabra: omx Frec.:18 LogProb: -5.71
Palabra: bln Frec.:1 LogProb: -7.96
Palabra: srv Frec.:1 LogProb: -7.96
Palabra: uncertainti Frec.:2 LogProb: -7.55
Palabra: sever Frec.:1 LogProb: -7.96
Palabra: stock Frec.:6 LogProb: -6.71
Palabra: tack Frec.:1 LogProb: -7.96
Palabra: pretax Frec.:10 LogProb: -6.25
Palabra: forese Frec.:1 LogProb: -7.96
Palabra: level Frec.:6 LogProb: -6.71
Palabra: reach Frec.:2 LogProb: -7.55
Palabra: slightli Frec.:2 LogProb: -7.55
Palabra: better Frec.:1 LogProb: -7.96
Palabra: baswar Frec.:1 LogProb: -7.96
Palabra: financi Frec.:9 LogProb: -6.35
Palabra: strengthen Frec.:1 LogProb: -7.96
Palabra: increas Frec.:5 LogProb: -6.86
Palabra: rapidli Frec.:1 LogProb: -7.96
Palabra: challeng Frec.:1 LogProb: -7.96
Palabra: boycot Frec.:1 LogProb: -7.96
Palabra: oppohjola Frec.:1 LogProb: -7.96
Palabra: task Frec.:1 LogProb: -7.96
Palabra: refus Frec.:1 LogProb: -7.96
Palabra: take Frec.:2 LogProb: -7.55
Palabra: determin Frec.:1 LogProb: -7.96
Palabra: wage Frec.:1 LogProb: -7.96
Palabra: xac Frec.:5 LogProb: -6.86
Palabra: mainli Frec.:1 LogProb: -7.96
Palabra: impair Frec.:1 LogProb: -7.96
Palabra: charg Frec.:1 LogProb: -7.96
Palabra: autom Frec.:2 LogProb: -7.55
Palabra: corpor Frec.:2 LogProb: -7.55
Palabra: cncv Frec.:1 LogProb: -7.96
Palabra: tonn Frec.:1 LogProb: -7.96
Palabra: cargo Frec.:2 LogProb: -7.55
Palabra: talentum Frec.:1 LogProb: -7.96
Palabra: improv Frec.:2 LogProb: -7.55
Palabra: home Frec.:2 LogProb: -7.55
Palabra: build Frec.:2 LogProb: -7.55
Palabra: good Frec.:1 LogProb: -7.96
Palabra: import Frec.:2 LogProb: -7.55
Palabra: oneoff Frec.:2 LogProb: -7.55
Palabra: return Frec.:2 LogProb: -7.55
Palabra: invest Frec.:6 LogProb: -6.71
Palabra: roi Frec.:1 LogProb: -7.96
Palabra: ilk Frec.:2 LogProb: -7.55
Palabra: cocacola Frec.:2 LogProb: -7.55
Palabra: leader Frec.:1 LogProb: -7.96
Palabra: bluecollar Frec.:1 LogProb: -7.96
Palabra: employe Frec.:4 LogProb: -7.04
Palabra: show Frec.:3 LogProb: -7.26
Palabra: index Frec.:5 LogProb: -6.86
Palabra: cap Frec.:1 LogProb: -7.96
Palabra: portfolio Frec.:2 LogProb: -7.55
Palabra: axa Frec.:1 LogProb: -7.96
Palabra: par Frec.:1 LogProb: -7.96
Palabra: cs Frec.:1 LogProb: -7.96
Palabra: citigroup Frec.:1 LogProb: -7.96
Palabra: ing Frec.:1 LogProb: -7.96
Palabra: target Frec.:1 LogProb: -7.96
Palabra: moment Frec.:1 LogProb: -7.96
Palabra: firm Frec.:1 LogProb: -7.96
Palabra: small Frec.:2 LogProb: -7.55
Palabra: like Frec.:1 LogProb: -7.96
Palabra: money Frec.:1 LogProb: -7.96
Palabra: troubl Frec.:2 LogProb: -7.55
Palabra: ad Frec.:4 LogProb: -7.04
Palabra: weaker Frec.:1 LogProb: -7.96
Palabra: therefor Frec.:1 LogProb: -7.96
Palabra: repres Frec.:3 LogProb: -7.26
Palabra: short Frec.:2 LogProb: -7.55
Palabra: commerci Frec.:2 LogProb: -7.55
Palabra: vehicl Frec.:1 LogProb: -7.96
Palabra: furthermor Frec.:1 LogProb: -7.96
Palabra: car Frec.:2 LogProb: -7.55
Palabra: light Frec.:1 LogProb: -7.96
Palabra: new Frec.:3 LogProb: -7.26
Palabra: countri Frec.:3 LogProb: -7.26
Palabra: matter Frec.:1 LogProb: -7.96
Palabra: dismiss Frec.:1 LogProb: -7.96
Palabra: court Frec.:1 LogProb: -7.96
Palabra: unless Frec.:1 LogProb: -7.96
Palabra: settl Frec.:1 LogProb: -7.96
Palabra: outsid Frec.:3 LogProb: -7.26
Palabra: agre Frec.:1 LogProb: -7.96
Palabra: long Frec.:1 LogProb: -7.96
Palabra: produc Frec.:2 LogProb: -7.55
Palabra: consumpt Frec.:1 LogProb: -7.96
Palabra: lead Frec.:2 LogProb: -7.55
Palabra: stoppag Frec.:1 LogProb: -7.96
Palabra: oct Frec.:1 LogProb: -7.96
Palabra: consult Frec.:1 LogProb: -7.96
Palabra: tieto Frec.:1 LogProb: -7.96
Palabra: tiev Frec.:1 LogProb: -7.96
Palabra: plung Frec.:1 LogProb: -7.96
Palabra: nine Frec.:5 LogProb: -6.86
Palabra: alreadi Frec.:1 LogProb: -7.96
Palabra: sizabl Frec.:1 LogProb: -7.96
Palabra: nordic Frec.:3 LogProb: -7.26
Palabra: write Frec.:1 LogProb: -7.96
Palabra: loan Frec.:2 LogProb: -7.55
Palabra: latvia Frec.:2 LogProb: -7.55
Palabra: swedbank Frec.:2 LogProb: -7.55
Palabra: nordea Frec.:1 LogProb: -7.96
Palabra: dnb Frec.:1 LogProb: -7.96
Palabra: seb Frec.:1 LogProb: -7.96
Palabra: combin Frec.:1 LogProb: -7.96
Palabra: excess Frec.:2 LogProb: -7.55
Palabra: backdrop Frec.:1 LogProb: -7.96
Palabra: near Frec.:1 LogProb: -7.96
Palabra: econom Frec.:2 LogProb: -7.55
Palabra: meltdown Frec.:1 LogProb: -7.96
Palabra: chain Frec.:1 LogProb: -7.96
Palabra: petrol Frec.:1 LogProb: -7.96
Palabra: station Frec.:1 LogProb: -7.96
Palabra: st Frec.:1 LogProb: -7.96
Palabra: kim Frec.:1 LogProb: -7.96
Palabra: wiio Frec.:1 LogProb: -7.96
Palabra: forc Frec.:1 LogProb: -7.96
Palabra: purchas Frec.:1 LogProb: -7.96
Palabra: rise Frec.:1 LogProb: -7.96
Palabra: consum Frec.:2 LogProb: -7.55
Palabra: almost Frec.:2 LogProb: -7.55
Palabra: daili Frec.:3 LogProb: -7.26
Palabra: competit Frec.:4 LogProb: -7.04
Palabra: affectogenimap Frec.:1 LogProb: -7.96
Palabra: halv Frec.:1 LogProb: -7.96
Palabra: literatur Frec.:1 LogProb: -7.96
Palabra: learn Frec.:1 LogProb: -7.96
Palabra: sanoma Frec.:3 LogProb: -7.26
Palabra: data Frec.:2 LogProb: -7.55
Palabra: pulp Frec.:2 LogProb: -7.55
Palabra: salonen Frec.:1 LogProb: -7.96
Palabra: inventori Frec.:1 LogProb: -7.96
Palabra: north Frec.:2 LogProb: -7.55
Palabra: america Frec.:1 LogProb: -7.96
Palabra: caus Frec.:3 LogProb: -7.26
Palabra: flight Frec.:3 LogProb: -7.26
Palabra: cancel Frec.:4 LogProb: -7.04
Palabra: threaten Frec.:1 LogProb: -7.96
Palabra: execut Frec.:2 LogProb: -7.55
Palabra: steel Frec.:2 LogProb: -7.55
Palabra: energi Frec.:3 LogProb: -7.26
Palabra: explor Frec.:1 LogProb: -7.96
Palabra: wood Frec.:1 LogProb: -7.96
Palabra: rutav Frec.:2 LogProb: -7.55
Palabra: huhtamaki Frec.:2 LogProb: -7.55
Palabra: faller Frec.:1 LogProb: -7.96
Palabra: higher Frec.:1 LogProb: -7.96
Palabra: secondquart Frec.:3 LogProb: -7.26
Palabra: forssa Frec.:1 LogProb: -7.96
Palabra: citi Frec.:3 LogProb: -7.26
Palabra: compens Frec.:1 LogProb: -7.96
Palabra: food Frec.:4 LogProb: -7.04
Palabra: hk Frec.:1 LogProb: -7.96
Palabra: ruokatalo Frec.:1 LogProb: -7.96
Palabra: atria Frec.:2 LogProb: -7.55
Palabra: lye Frec.:1 LogProb: -7.96
Palabra: leak Frec.:1 LogProb: -7.96
Palabra: tap Frec.:1 LogProb: -7.96
